issue_id,issue_create_at,first_comment_create_at,reply_time
326,2024-08-13 03:39:08+00:00,2024-08-13 03:59:04+00:00,0:19:56
325,2024-05-04 19:56:10+00:00,2024-05-05 02:59:08+00:00,7:02:58
324,2024-03-28 20:51:15+00:00,2024-03-28 21:06:19+00:00,0:15:04
323,2024-02-10 11:00:09+00:00,2024-02-11 03:42:54+00:00,16:42:45
322,2024-02-05 15:54:50+00:00,2024-02-05 18:24:54+00:00,2:30:04
321,2024-01-15 13:09:41+00:00,2024-01-16 01:45:37+00:00,12:35:56
320,2023-12-12 02:05:43+00:00,2023-12-12 04:39:51+00:00,2:34:08
319,2023-12-03 07:12:43+00:00,no comment,no comment
318,2023-12-03 04:21:17+00:00,2023-12-03 06:38:42+00:00,2:17:25
317,2023-10-05 18:26:44+00:00,no comment,no comment
316,2023-10-05 11:22:28+00:00,2023-10-05 23:40:16+00:00,12:17:48
315,2023-08-11 07:39:56+00:00,2023-08-11 16:21:44+00:00,8:41:48
314,2023-04-14 08:32:40+00:00,2023-04-14 14:19:36+00:00,5:46:56
313,2023-04-04 18:01:04+00:00,no comment,no comment
312,2023-03-14 18:14:41+00:00,2023-03-14 18:21:56+00:00,0:07:15
311,2023-02-05 19:02:56+00:00,no comment,no comment
310,2023-02-05 17:31:49+00:00,no comment,no comment
309,2023-02-05 16:17:08+00:00,2023-02-05 17:52:43+00:00,1:35:35
308,2023-02-04 21:44:39+00:00,no comment,no comment
307,2023-02-04 19:55:58+00:00,2023-02-04 23:44:26+00:00,3:48:28
306,2023-01-05 19:23:06+00:00,2023-01-05 20:02:24+00:00,0:39:18
305,2023-01-03 11:39:44+00:00,2023-01-03 11:41:17+00:00,0:01:33
304,2022-11-16 20:21:25+00:00,no comment,no comment
303,2022-11-16 11:58:52+00:00,2022-11-16 15:55:33+00:00,3:56:41
302,2022-11-14 19:12:40+00:00,no comment,no comment
301,2022-11-14 00:16:01+00:00,2022-11-14 03:14:31+00:00,2:58:30
300,2022-07-01 02:27:18+00:00,no comment,no comment
299,2022-07-01 01:31:00+00:00,2022-07-01 15:15:52+00:00,13:44:52
298,2022-04-21 13:49:10+00:00,no comment,no comment
297,2022-04-20 12:45:33+00:00,2022-04-20 15:54:48+00:00,3:09:15
296,2022-04-08 11:25:16+00:00,2022-04-08 13:04:32+00:00,1:39:16
295,2022-04-01 20:23:49+00:00,2022-04-01 21:04:44+00:00,0:40:55
294,2021-12-11 17:40:47+00:00,2021-12-11 20:03:18+00:00,2:22:31
293,2021-11-16 06:52:35+00:00,no comment,no comment
292,2021-11-15 18:44:41+00:00,no comment,no comment
291,2021-11-15 16:58:56+00:00,no comment,no comment
290,2021-11-15 09:53:56+00:00,2021-11-15 15:08:32+00:00,5:14:36
289,2021-08-24 04:19:29+00:00,no comment,no comment
288,2021-08-19 18:48:28+00:00,no comment,no comment
287,2021-08-19 17:59:22+00:00,no comment,no comment
286,2021-08-18 21:36:51+00:00,2021-08-18 22:42:53+00:00,1:06:02
285,2021-08-13 14:40:12+00:00,2021-08-13 18:30:48+00:00,3:50:36
284,2021-07-17 06:14:47+00:00,no comment,no comment
283,2021-07-06 21:02:10+00:00,no comment,no comment
282,2021-07-05 21:22:49+00:00,2021-07-09 03:57:04+00:00,"3 days, 6:34:15"
281,2021-07-04 08:43:23+00:00,2021-07-04 15:37:49+00:00,6:54:26
280,2021-06-10 06:27:54+00:00,2021-06-10 06:43:24+00:00,0:15:30
279,2021-05-21 01:03:17+00:00,2021-05-21 01:26:38+00:00,0:23:21
278,2021-04-23 02:44:05+00:00,2021-04-23 05:24:07+00:00,2:40:02
277,2021-04-16 09:33:28+00:00,2021-04-17 03:07:05+00:00,17:33:37
276,2021-04-11 14:43:21+00:00,2021-04-11 15:23:08+00:00,0:39:47
275,2021-01-29 03:24:20+00:00,2021-01-29 04:55:20+00:00,1:31:00
274,2021-01-02 21:05:06+00:00,no comment,no comment
273,2020-12-29 10:54:30+00:00,no comment,no comment
272,2020-12-18 18:30:24+00:00,2020-12-18 20:33:13+00:00,2:02:49
271,2020-12-18 09:30:55+00:00,no comment,no comment
270,2020-11-02 14:03:44+00:00,2020-11-18 14:31:12+00:00,"16 days, 0:27:28"
269,2020-10-28 20:48:09+00:00,2020-10-28 20:55:21+00:00,0:07:12
268,2020-10-12 10:52:44+00:00,2020-10-12 19:01:45+00:00,8:09:01
267,2020-09-26 07:40:41+00:00,2020-09-26 17:57:45+00:00,10:17:04
266,2020-09-03 13:15:48+00:00,no comment,no comment
265,2020-07-18 18:27:32+00:00,2020-07-18 19:19:44+00:00,0:52:12
264,2020-07-15 13:01:31+00:00,no comment,no comment
263,2020-07-03 06:54:22+00:00,2020-07-03 15:06:37+00:00,8:12:15
262,2020-04-29 06:26:23+00:00,2020-04-29 13:35:18+00:00,7:08:55
261,2020-04-16 14:06:03+00:00,2020-04-16 14:30:38+00:00,0:24:35
260,2020-03-14 16:44:57+00:00,no comment,no comment
259,2019-11-22 14:26:45+00:00,2019-11-22 15:28:58+00:00,1:02:13
258,2019-11-14 17:33:32+00:00,2019-11-14 17:37:56+00:00,0:04:24
257,2019-10-22 18:08:16+00:00,no comment,no comment
256,2019-10-20 16:21:33+00:00,no comment,no comment
255,2019-10-20 03:22:51+00:00,2019-10-20 15:55:57+00:00,12:33:06
254,2019-08-09 22:25:17+00:00,no comment,no comment
253,2019-08-01 10:10:22+00:00,2019-08-01 15:03:00+00:00,4:52:38
252,2019-07-30 21:13:14+00:00,2019-07-30 21:28:07+00:00,0:14:53
251,2019-07-13 19:03:30+00:00,2019-07-15 02:35:12+00:00,"1 day, 7:31:42"
250,2019-06-14 11:12:55+00:00,no comment,no comment
249,2019-05-10 18:56:10+00:00,2019-05-10 18:56:35+00:00,0:00:25
248,2019-04-18 16:27:17+00:00,2019-04-18 17:47:27+00:00,1:20:10
247,2019-04-17 17:05:48+00:00,2019-04-18 00:39:41+00:00,7:33:53
246,2019-04-17 11:34:53+00:00,2019-04-17 15:26:10+00:00,3:51:17
245,2019-03-21 23:19:01+00:00,2019-03-22 01:17:38+00:00,1:58:37
244,2019-03-05 04:27:56+00:00,2019-03-05 04:43:39+00:00,0:15:43
243,2019-02-04 14:28:29+00:00,2019-02-04 17:06:42+00:00,2:38:13
242,2019-01-31 07:18:06+00:00,2019-01-31 07:45:45+00:00,0:27:39
241,2018-11-04 14:21:28+00:00,2018-11-04 17:05:48+00:00,2:44:20
240,2018-10-18 10:08:38+00:00,2018-10-18 13:45:57+00:00,3:37:19
239,2018-10-10 17:34:54+00:00,2018-10-10 17:47:07+00:00,0:12:13
238,2018-09-11 18:41:35+00:00,2018-09-11 19:12:06+00:00,0:30:31
237,2018-09-08 18:46:55+00:00,2018-09-08 20:12:50+00:00,1:25:55
236,2018-09-06 18:48:55+00:00,no comment,no comment
235,2018-09-04 21:27:57+00:00,no comment,no comment
234,2018-09-04 16:19:26+00:00,no comment,no comment
233,2018-09-04 16:17:15+00:00,no comment,no comment
232,2018-09-04 07:12:26+00:00,2018-09-04 07:17:48+00:00,0:05:22
231,2018-09-03 09:07:47+00:00,no comment,no comment
230,2018-08-25 03:56:18+00:00,2018-08-25 06:20:46+00:00,2:24:28
229,2018-08-15 12:50:38+00:00,no comment,no comment
228,2018-08-14 01:24:55+00:00,2018-08-15 16:09:51+00:00,"1 day, 14:44:56"
227,2018-07-03 06:00:38+00:00,2018-07-03 06:08:22+00:00,0:07:44
226,2018-07-02 15:37:09+00:00,2018-07-02 15:42:54+00:00,0:05:45
225,2018-06-26 22:49:33+00:00,2018-06-26 22:58:29+00:00,0:08:56
224,2018-06-19 08:42:08+00:00,no comment,no comment
223,2018-06-13 07:16:19+00:00,no comment,no comment
222,2018-06-04 18:06:34+00:00,no comment,no comment
221,2018-06-04 07:54:26+00:00,2018-06-04 17:51:24+00:00,9:56:58
220,2018-04-25 16:39:06+00:00,no comment,no comment
219,2018-04-25 16:27:57+00:00,2018-08-18 20:14:33+00:00,"115 days, 3:46:36"
218,2018-04-25 09:09:40+00:00,2018-04-25 14:02:42+00:00,4:53:02
217,2018-04-25 08:19:47+00:00,no comment,no comment
216,2018-04-24 22:05:07+00:00,no comment,no comment
215,2018-04-24 17:37:48+00:00,no comment,no comment
214,2018-04-24 17:36:30+00:00,no comment,no comment
213,2018-04-24 15:05:25+00:00,2018-04-24 16:32:09+00:00,1:26:44
212,2018-04-03 16:53:40+00:00,2018-04-03 17:18:33+00:00,0:24:53
211,2018-03-28 23:20:51+00:00,2018-03-29 06:16:35+00:00,6:55:44
210,2018-03-27 22:46:30+00:00,no comment,no comment
209,2018-03-25 20:32:25+00:00,2018-03-26 01:04:08+00:00,4:31:43
208,2018-03-23 16:07:18+00:00,2018-03-23 16:08:15+00:00,0:00:57
207,2018-03-23 15:56:55+00:00,2018-03-23 17:11:26+00:00,1:14:31
206,2018-03-23 15:53:21+00:00,2018-03-23 17:15:22+00:00,1:22:01
204,2018-02-10 20:35:37+00:00,2018-02-10 20:59:11+00:00,0:23:34
203,2018-01-22 11:23:03+00:00,2018-01-22 18:57:41+00:00,7:34:38
202,2018-01-18 03:32:11+00:00,2018-01-18 17:40:03+00:00,14:07:52
201,2018-01-18 02:24:10+00:00,2018-01-18 02:43:31+00:00,0:19:21
200,2018-01-11 11:20:34+00:00,2018-01-11 18:14:07+00:00,6:53:33
199,2017-12-02 22:17:05+00:00,no comment,no comment
198,2017-12-02 21:45:01+00:00,no comment,no comment
197,2017-12-02 21:27:41+00:00,2017-12-02 22:28:02+00:00,1:00:21
196,2017-11-25 17:18:07+00:00,2017-11-27 18:43:47+00:00,"2 days, 1:25:40"
195,2017-11-24 08:47:49+00:00,2017-11-24 09:12:50+00:00,0:25:01
194,2017-11-24 07:57:45+00:00,no comment,no comment
193,2017-11-24 07:29:33+00:00,no comment,no comment
192,2017-11-16 15:26:59+00:00,2017-11-16 15:34:18+00:00,0:07:19
191,2017-11-10 20:28:48+00:00,no comment,no comment
190,2017-11-10 10:27:25+00:00,2017-11-10 16:29:56+00:00,6:02:31
189,2017-11-08 14:25:07+00:00,2017-11-24 03:00:07+00:00,"15 days, 12:35:00"
188,2017-11-06 20:04:09+00:00,2017-11-06 20:04:26+00:00,0:00:17
187,2017-11-06 19:30:07+00:00,2017-11-06 19:38:06+00:00,0:07:59
186,2017-11-06 19:21:32+00:00,2017-11-06 19:41:15+00:00,0:19:43
185,2017-11-06 09:46:09+00:00,2017-11-06 15:06:15+00:00,5:20:06
184,2017-11-03 22:51:39+00:00,2017-11-03 23:15:41+00:00,0:24:02
183,2017-10-09 19:41:56+00:00,2017-10-09 19:46:18+00:00,0:04:22
182,2017-09-27 09:34:44+00:00,2017-09-28 23:27:10+00:00,"1 day, 13:52:26"
181,2017-07-19 13:39:49+00:00,2017-07-19 13:59:21+00:00,0:19:32
180,2017-07-01 10:58:32+00:00,2017-07-08 17:41:29+00:00,"7 days, 6:42:57"
179,2017-06-28 07:38:35+00:00,no comment,no comment
178,2017-06-20 06:30:06+00:00,2017-06-20 14:11:22+00:00,7:41:16
177,2017-06-19 18:43:18+00:00,2017-06-19 19:20:51+00:00,0:37:33
176,2017-06-19 18:18:36+00:00,no comment,no comment
175,2017-06-19 18:02:44+00:00,2017-06-19 18:26:31+00:00,0:23:47
174,2017-06-19 17:21:53+00:00,2017-06-19 17:33:46+00:00,0:11:53
173,2017-06-19 15:32:28+00:00,2017-06-19 16:45:19+00:00,1:12:51
172,2017-06-12 09:21:44+00:00,2017-06-12 12:48:30+00:00,3:26:46
171,2017-05-21 10:31:39+00:00,no comment,no comment
170,2017-05-21 09:55:25+00:00,no comment,no comment
169,2017-05-12 19:19:13+00:00,2017-05-12 19:20:21+00:00,0:01:08
168,2017-05-08 15:23:51+00:00,no comment,no comment
167,2017-05-08 14:31:34+00:00,no comment,no comment
166,2017-05-07 18:16:07+00:00,2017-05-08 19:03:53+00:00,"1 day, 0:47:46"
165,2017-05-05 13:18:47+00:00,no comment,no comment
164,2017-05-03 16:13:56+00:00,2017-05-05 14:34:38+00:00,"1 day, 22:20:42"
163,2017-04-27 09:38:14+00:00,2017-06-08 13:26:15+00:00,"42 days, 3:48:01"
162,2017-04-24 22:29:21+00:00,no comment,no comment
161,2017-04-20 08:20:47+00:00,2017-05-08 15:39:06+00:00,"18 days, 7:18:19"
160,2017-03-07 06:21:46+00:00,2017-03-07 16:06:26+00:00,9:44:40
159,2017-03-02 21:38:56+00:00,no comment,no comment
158,2017-03-02 21:34:34+00:00,2018-08-23 03:55:31+00:00,"538 days, 6:20:57"
157,2017-01-31 10:27:35+00:00,no comment,no comment
156,2017-01-26 14:58:30+00:00,2017-12-05 01:13:38+00:00,"312 days, 10:15:08"
155,2017-01-18 08:58:59+00:00,2017-01-18 09:03:37+00:00,0:04:38
154,2017-01-18 08:39:17+00:00,2017-01-18 14:59:24+00:00,6:20:07
153,2017-01-17 20:30:51+00:00,no comment,no comment
152,2017-01-16 15:24:28+00:00,2017-01-16 16:43:02+00:00,1:18:34
151,2016-12-30 06:28:41+00:00,2016-12-31 19:29:23+00:00,"1 day, 13:00:42"
150,2016-12-30 03:49:02+00:00,2016-12-31 19:30:07+00:00,"1 day, 15:41:05"
149,2016-12-08 22:27:30+00:00,2016-12-08 22:47:38+00:00,0:20:08
148,2016-11-16 21:10:40+00:00,2016-11-16 23:24:10+00:00,2:13:30
147,2016-10-21 19:24:12+00:00,2016-10-21 19:36:57+00:00,0:12:45
146,2016-09-22 01:50:13+00:00,2016-09-22 14:59:24+00:00,13:09:11
145,2016-09-09 07:35:33+00:00,2016-09-09 14:24:49+00:00,6:49:16
144,2016-09-02 15:02:42+00:00,2016-10-21 03:53:13+00:00,"48 days, 12:50:31"
143,2016-09-01 16:29:23+00:00,2016-09-01 16:40:45+00:00,0:11:22
142,2016-08-31 21:22:12+00:00,2016-09-01 16:29:58+00:00,19:07:46
141,2016-08-30 17:43:03+00:00,2016-08-31 21:23:24+00:00,"1 day, 3:40:21"
140,2016-06-30 23:56:44+00:00,2016-07-01 00:53:16+00:00,0:56:32
139,2016-06-03 23:53:47+00:00,2016-06-04 00:02:59+00:00,0:09:12
138,2016-05-31 09:04:41+00:00,2016-10-28 10:21:17+00:00,"150 days, 1:16:36"
137,2016-05-29 11:44:00+00:00,2016-05-29 11:44:17+00:00,0:00:17
136,2016-05-09 22:25:10+00:00,2016-05-10 00:03:19+00:00,1:38:09
135,2016-03-29 20:26:42+00:00,2016-03-30 09:35:57+00:00,13:09:15
134,2016-03-10 03:02:39+00:00,2016-03-12 22:18:41+00:00,"2 days, 19:16:02"
133,2016-01-28 07:32:33+00:00,2016-01-28 10:19:53+00:00,2:47:20
132,2015-12-27 19:11:37+00:00,2016-04-09 07:57:16+00:00,"103 days, 12:45:39"
131,2015-12-15 16:05:14+00:00,2015-12-15 16:11:35+00:00,0:06:21
130,2015-11-22 09:00:58+00:00,no comment,no comment
129,2015-11-06 16:03:36+00:00,2015-11-06 18:10:36+00:00,2:07:00
128,2015-10-26 14:28:17+00:00,2015-10-27 15:32:54+00:00,"1 day, 1:04:37"
127,2015-10-20 16:06:46+00:00,no comment,no comment
126,2015-10-19 11:40:56+00:00,2015-10-19 14:23:03+00:00,2:42:07
125,2015-10-13 13:06:01+00:00,2015-10-13 13:11:46+00:00,0:05:45
124,2015-10-02 22:47:08+00:00,2015-10-03 06:23:05+00:00,7:35:57
123,2015-09-03 21:54:47+00:00,2015-09-04 17:32:23+00:00,19:37:36
122,2015-08-17 18:36:26+00:00,2015-08-17 20:18:07+00:00,1:41:41
121,2015-07-11 16:23:31+00:00,2015-07-18 21:47:39+00:00,"7 days, 5:24:08"
120,2015-06-24 15:18:08+00:00,2015-06-24 17:18:18+00:00,2:00:10
119,2015-05-19 01:33:31+00:00,2015-05-19 02:18:13+00:00,0:44:42
118,2015-05-18 15:50:04+00:00,2015-05-18 17:35:31+00:00,1:45:27
117,2015-05-13 02:27:29+00:00,2015-05-13 02:56:56+00:00,0:29:27
116,2015-02-18 17:42:32+00:00,2015-02-18 17:49:00+00:00,0:06:28
115,2015-01-26 06:22:15+00:00,2015-01-26 07:15:44+00:00,0:53:29
114,2015-01-21 14:30:56+00:00,2015-01-21 14:33:01+00:00,0:02:05
113,2015-01-09 23:35:27+00:00,2015-01-10 04:31:01+00:00,4:55:34
112,2014-12-26 12:10:28+00:00,no comment,no comment
111,2014-12-06 07:32:30+00:00,2014-12-06 08:06:57+00:00,0:34:27
110,2014-10-24 05:23:33+00:00,2014-10-24 15:12:35+00:00,9:49:02
109,2014-10-24 05:19:45+00:00,2014-10-24 15:12:17+00:00,9:52:32
108,2014-10-22 13:41:10+00:00,2014-10-22 14:25:59+00:00,0:44:49
107,2014-09-29 21:17:34+00:00,no comment,no comment
106,2014-09-24 22:46:04+00:00,2014-09-24 23:16:13+00:00,0:30:09
105,2014-08-26 11:36:25+00:00,2014-08-26 14:31:37+00:00,2:55:12
104,2014-08-18 13:35:42+00:00,2014-08-18 19:57:33+00:00,6:21:51
103,2014-08-17 19:15:17+00:00,2014-08-18 13:39:36+00:00,18:24:19
102,2014-07-25 23:02:19+00:00,2014-07-30 20:52:15+00:00,"4 days, 21:49:56"
101,2014-07-21 07:51:34+00:00,2014-07-21 08:06:05+00:00,0:14:31
100,2014-07-10 18:01:42+00:00,2014-07-10 18:54:15+00:00,0:52:33
99,2014-06-28 19:37:02+00:00,2014-06-28 20:11:34+00:00,0:34:32
98,2014-06-24 14:33:42+00:00,2014-06-24 18:03:35+00:00,3:29:53
97,2014-05-23 11:40:25+00:00,no comment,no comment
96,2014-05-14 12:31:57+00:00,2014-05-14 15:08:28+00:00,2:36:31
95,2014-05-07 01:00:27+00:00,2014-05-07 02:09:59+00:00,1:09:32
94,2014-04-30 09:44:23+00:00,no comment,no comment
93,2014-04-04 03:34:09+00:00,2014-04-04 04:05:29+00:00,0:31:20
92,2014-04-02 08:53:13+00:00,2014-04-02 09:26:14+00:00,0:33:01
91,2014-04-02 08:48:13+00:00,2014-04-02 18:19:57+00:00,9:31:44
90,2014-03-19 15:50:20+00:00,2014-03-19 16:23:00+00:00,0:32:40
89,2014-03-14 12:19:03+00:00,2014-03-14 15:36:41+00:00,3:17:38
88,2014-02-25 06:28:59+00:00,2014-02-25 06:36:06+00:00,0:07:07
87,2014-02-14 22:45:24+00:00,2014-02-15 00:17:17+00:00,1:31:53
86,2014-02-13 00:01:47+00:00,2014-02-13 00:51:05+00:00,0:49:18
85,2014-02-10 18:31:20+00:00,2014-02-10 19:14:43+00:00,0:43:23
84,2013-11-11 23:03:26+00:00,2013-11-11 23:46:53+00:00,0:43:27
83,2013-11-09 01:15:56+00:00,2013-11-09 01:21:01+00:00,0:05:05
82,2013-10-31 10:16:48+00:00,no comment,no comment
81,2013-10-31 10:15:47+00:00,no comment,no comment
80,2013-10-18 01:45:15+00:00,2013-10-18 02:25:26+00:00,0:40:11
78,2013-10-05 17:21:22+00:00,2013-10-05 18:24:02+00:00,1:02:40
77,2013-08-27 09:34:43+00:00,2013-08-27 09:42:49+00:00,0:08:06
76,2013-08-23 22:51:03+00:00,2013-08-23 23:05:30+00:00,0:14:27
75,2013-07-29 22:09:22+00:00,2013-07-29 22:17:53+00:00,0:08:31
74,2013-07-29 15:28:47+00:00,2013-07-29 15:43:35+00:00,0:14:48
73,2013-07-06 12:56:54+00:00,2013-07-06 18:07:48+00:00,5:10:54
72,2013-06-18 15:34:35+00:00,2013-06-18 16:28:48+00:00,0:54:13
71,2013-06-10 17:16:15+00:00,2013-06-10 17:29:23+00:00,0:13:08
70,2013-05-11 13:20:06+00:00,2013-05-11 14:16:52+00:00,0:56:46
69,2013-04-17 21:16:05+00:00,2013-04-19 23:22:55+00:00,"2 days, 2:06:50"
68,2013-04-17 05:42:48+00:00,2013-04-17 06:39:18+00:00,0:56:30
67,2013-04-05 22:27:04+00:00,2013-04-05 22:35:38+00:00,0:08:34
66,2013-03-24 12:07:32+00:00,2013-03-24 15:33:09+00:00,3:25:37
65,2013-03-18 21:30:55+00:00,2013-03-18 21:56:30+00:00,0:25:35
64,2013-03-07 20:23:23+00:00,2013-03-08 16:56:18+00:00,20:32:55
63,2013-03-05 14:59:46+00:00,2013-03-05 15:35:06+00:00,0:35:20
62,2013-02-23 14:57:58+00:00,2013-02-23 19:54:39+00:00,4:56:41
61,2013-02-21 18:52:31+00:00,no comment,no comment
60,2013-02-21 18:48:20+00:00,no comment,no comment
59,2013-02-21 18:44:42+00:00,2013-02-21 23:11:29+00:00,4:26:47
58,2013-02-21 18:42:35+00:00,no comment,no comment
57,2013-02-21 12:17:18+00:00,no comment,no comment
56,2013-02-19 04:12:24+00:00,no comment,no comment
55,2013-02-12 00:25:33+00:00,2013-02-12 00:44:23+00:00,0:18:50
54,2013-01-25 23:09:30+00:00,2013-01-26 00:39:25+00:00,1:29:55
53,2013-01-25 21:44:48+00:00,2013-01-25 21:45:35+00:00,0:00:47
52,2013-01-25 00:09:56+00:00,2013-01-25 00:25:32+00:00,0:15:36
51,2013-01-23 19:59:38+00:00,2013-01-23 20:00:56+00:00,0:01:18
50,2013-01-11 16:13:11+00:00,2013-01-11 16:40:15+00:00,0:27:04
49,2013-01-03 09:27:43+00:00,2013-01-03 19:31:41+00:00,10:03:58
48,2013-01-03 09:24:09+00:00,2013-01-03 19:31:55+00:00,10:07:46
47,2013-01-02 05:35:22+00:00,no comment,no comment
46,2013-01-01 21:52:40+00:00,2013-01-01 22:54:29+00:00,1:01:49
45,2012-12-28 19:09:49+00:00,no comment,no comment
44,2012-10-15 18:13:33+00:00,2012-10-15 19:02:21+00:00,0:48:48
43,2012-09-27 19:42:14+00:00,2012-09-27 19:43:56+00:00,0:01:42
42,2012-09-21 20:18:47+00:00,2012-09-21 21:02:55+00:00,0:44:08
41,2012-09-07 10:24:48+00:00,no comment,no comment
40,2012-08-08 21:17:58+00:00,2012-08-08 21:30:47+00:00,0:12:49
39,2012-07-23 19:35:58+00:00,2012-07-23 22:12:12+00:00,2:36:14
38,2012-07-19 10:09:25+00:00,no comment,no comment
37,2012-06-22 15:59:26+00:00,2012-06-22 17:49:07+00:00,1:49:41
36,2012-06-05 16:07:30+00:00,2012-06-05 16:22:38+00:00,0:15:08
35,2012-05-10 21:28:44+00:00,2012-05-10 22:05:12+00:00,0:36:28
34,2012-05-10 09:28:00+00:00,2012-05-10 11:04:04+00:00,1:36:04
33,2012-05-05 09:27:22+00:00,2012-05-05 15:59:01+00:00,6:31:39
32,2012-04-12 05:09:34+00:00,2012-04-12 05:14:14+00:00,0:04:40
31,2012-03-06 17:36:09+00:00,no comment,no comment
30,2012-02-27 11:26:35+00:00,2012-02-27 16:22:11+00:00,4:55:36
29,2012-02-24 16:27:34+00:00,2012-02-24 16:30:15+00:00,0:02:41
28,2012-01-03 21:28:07+00:00,2012-01-03 21:45:40+00:00,0:17:33
27,2011-12-29 23:21:33+00:00,2011-12-30 07:28:31+00:00,8:06:58
26,2011-12-29 17:13:13+00:00,2011-12-29 18:10:19+00:00,0:57:06
25,2011-12-07 10:02:31+00:00,2011-12-07 16:03:34+00:00,6:01:03
24,2011-11-28 14:58:22+00:00,2011-11-28 15:10:18+00:00,0:11:56
23,2011-11-16 09:47:55+00:00,2011-11-18 20:39:38+00:00,"2 days, 10:51:43"
22,2011-11-11 03:49:56+00:00,2011-11-18 20:36:34+00:00,"7 days, 16:46:38"
21,2011-11-03 18:59:07+00:00,2011-11-03 19:10:30+00:00,0:11:23
20,2011-10-26 21:33:38+00:00,2011-10-26 21:40:23+00:00,0:06:45
19,2011-10-21 13:30:39+00:00,2011-10-21 15:47:07+00:00,2:16:28
18,2011-09-19 18:23:29+00:00,2011-09-19 19:46:58+00:00,1:23:29
17,2011-09-15 09:06:54+00:00,2011-09-15 09:08:28+00:00,0:01:34
16,2011-09-06 19:07:52+00:00,2011-09-06 19:17:58+00:00,0:10:06
15,2011-07-25 23:33:11+00:00,2011-09-04 01:29:38+00:00,"40 days, 1:56:27"
14,2011-07-23 06:24:28+00:00,2011-07-23 06:36:31+00:00,0:12:03
13,2011-07-11 22:10:49+00:00,2011-09-04 01:51:34+00:00,"54 days, 3:40:45"
12,2011-06-22 21:29:45+00:00,2011-06-23 04:21:30+00:00,6:51:45
11,2011-05-03 07:19:01+00:00,2011-05-04 15:31:33+00:00,"1 day, 8:12:32"
10,2011-05-01 17:26:42+00:00,2011-05-01 18:21:12+00:00,0:54:30
9,2011-04-17 17:01:30+00:00,2011-04-17 17:09:17+00:00,0:07:47
8,2011-04-17 10:56:53+00:00,2012-09-26 19:28:50+00:00,"528 days, 8:31:57"
7,2011-03-11 08:13:41+00:00,2011-05-08 18:07:53+00:00,"58 days, 9:54:12"
6,2011-03-09 14:58:57+00:00,2011-09-04 02:09:46+00:00,"178 days, 11:10:49"
5,2011-03-03 17:32:51+00:00,2011-04-06 12:28:10+00:00,"33 days, 18:55:19"
4,2011-03-01 19:22:03+00:00,2011-04-19 20:05:56+00:00,"49 days, 0:43:53"
3,2011-02-07 09:50:23+00:00,2011-04-19 20:04:36+00:00,"71 days, 10:14:13"
2,2011-02-06 06:17:18+00:00,2011-09-04 23:06:34+00:00,"210 days, 16:49:16"
1,2011-02-06 06:16:11+00:00,2011-09-04 23:58:45+00:00,"210 days, 17:42:34"
